Date time, Open, High, Low, Close, MA9, MA26, MA52, MA104, RSI
2021.02.04 00:00:00,1.36428000,1.36977000,1.35647000,1.36715000,1.36837333,1.36429731,1.35243962,1.32572933,54.59143869
2021.02.05 00:00:00,1.36715000,1.37399000,1.36603000,1.37363000,1.36906222,1.36473038,1.35323173,1.32662615,57.52996820
2021.02.08 00:00:00,1.37188000,1.37492000,1.36802000,1.37379000,1.36908444,1.36503500,1.35396135,1.32753125,59.32268065
2021.02.09 00:00:00,1.37376000,1.38206000,1.37333000,1.38154000,1.37053111,1.36598654,1.35478712,1.32846356,64.40124659
2021.02.10 00:00:00,1.38154000,1.38659000,1.38024000,1.38314000,1.37179000,1.36677885,1.35570000,1.32937029,65.22774248
2021.02.11 00:00:00,1.38303000,1.38591000,1.38005000,1.38143000,1.37308111,1.36757308,1.35667365,1.33018577,63.20647252
2021.02.12 00:00:00,1.38127000,1.38623000,1.37756000,1.38533000,1.37522778,1.36869154,1.35769654,1.33103269,65.56078524
2021.02.15 00:00:00,1.38505000,1.39191000,1.38491000,1.38997000,1.37781444,1.36999577,1.35862173,1.33197269,68.63728996
2021.02.16 00:00:00,1.38995000,1.39521000,1.38694000,1.39021000,1.38068778,1.37149769,1.35965558,1.33301740,68.70674415
2021.02.17 00:00:00,1.39014000,1.39076000,1.38296000,1.38596000,1.38277778,1.37225538,1.36044231,1.33410442,63.60509898
2021.02.18 00:00:00,1.38626000,1.39857000,1.38396000,1.39725000,1.38540222,1.37355808,1.36147712,1.33530731,70.11696902
2021.02.19 00:00:00,1.39725000,1.40362000,1.39511000,1.40043000,1.38836222,1.37478154,1.36267981,1.33652231,72.22657301
2021.02.22 00:00:00,1.40150000,1.40861000,1.39803000,1.40608000,1.39108889,1.37662308,1.36403231,1.33779010,74.29272913
2021.02.23 00:00:00,1.40608000,1.41172000,1.40543000,1.41126000,1.39421333,1.37865154,1.36539942,1.33902231,76.41536927
2021.02.24 00:00:00,1.41125000,1.42409000,1.40821000,1.41389000,1.39782000,1.38059885,1.36703019,1.34025327,77.30154008
2021.02.25 00:00:00,1.41378000,1.41817000,1.40001000,1.40070000,1.39952778,1.38197038,1.36852519,1.34130183,62.85144030
2021.02.26 00:00:00,1.40091000,1.40262000,1.38877000,1.39270000,1.39983111,1.38272654,1.36967558,1.34230288,56.07638860
2021.03.01 00:00:00,1.39312000,1.39991000,1.39038000,1.39247000,1.40008222,1.38365923,1.37057404,1.34325298,55.55875271
2021.03.02 00:00:00,1.39241000,1.39769000,1.38588000,1.39517000,1.40110556,1.38472615,1.37142769,1.34419077,57.42640933
2021.03.03 00:00:00,1.39515000,1.40062000,1.39207000,1.39486000,1.40084000,1.38554423,1.37213038,1.34522683,57.07285132
2021.03.04 00:00:00,1.39478000,1.40169000,1.38803000,1.38936000,1.39961000,1.38634577,1.37289192,1.34616837,52.01470629
2021.03.05 00:00:00,1.38927000,1.39069000,1.37782000,1.38291000,1.39703556,1.38677269,1.37360019,1.34702712,45.44769440
2021.03.08 00:00:00,1.38106000,1.38649000,1.37999000,1.38198000,1.39378222,1.38724077,1.37448712,1.34776913,46.17700271
2021.03.09 00:00:00,1.38202000,1.39254000,1.38018000,1.38866000,1.39097889,1.38811192,1.37524904,1.34856202,51.76416480
2021.03.10 00:00:00,1.38855000,1.39381000,1.38453000,1.39332000,1.39015889,1.38913615,1.37601750,1.34952202,55.41083900
